,Al Franken (D-MN),Amy Klobuchar (D-MN),Angus King (I-ME),Barbara Boxer (D-CA),Barbara Mikulski (D-MD),Ben Cardin (D-MD),Ben Sasse (R-NE),Bernie Sanders (I-VT),Bill Cassidy (R-LA),Bill Nelson (D-FL),Bob Casey (D-PA),Bob Corker (R-TN),Brian Schatz (D-HI),Charles Schumer (D-NY),Christopher Coons (D-DE),Christopher Murphy (D-CT),Chuck Grassley (R-IA),Claire McCaskill (D-MO),Cory Booker (D-NJ),Cory Gardner (R-CO),Dan Coats (R-IN),Dan Sullivan (R-AK),David Perdue (R-GA),David Vitter (R-LA),Dean Heller (R-NV),Deb Fischer (R-NE),Debbie Stabenow (D-MI),Dianne Feinstein (D-CA),Edward Markey (D-MA),Elizabeth Warren (D-MA),Gary Peters (D-MI),Harry Reid (D-NV),Heidi Heitkamp (D-ND),James  Risch (R-ID),James Lankford (R-OK),Jeanne Shaheen (D-NH),Jeff Flake (R-AZ),Jeff Merkley (D-OR),Jefferson Sessions (R-AL),Jerry Moran (R-KS),Jim Inhofe (R-OK),Joe Donnelly (D-IN),Joe Manchin (D-WV),John Barrasso (R-WY),John Boozman (R-AR),John Cornyn (R-TX),John Hoeven (R-ND),John McCain (R-AZ),John Reed (D-RI),John Thune (R-SD),Johnny Isakson (R-GA),Jon Tester (D-MT),Joni Ernst (R-IA),Kelly Ayotte (R-NH),Kirsten Gillibrand (D-NY),Lamar Alexander (R-TN),Lindsey Graham (R-SC),Lisa Murkowski (R-AK),Marco Rubio (R-FL),Maria Cantwell (D-WA),Mark Kirk (R-IL),Mark Warner (D-VA),Martin Heinrich (D-NM),Mazie Hirono (D-HI),Michael Bennet (D-CO),Mike Crapo (R-ID),Mike Enzi (R-WY),Mike Lee (R-UT),Mike Rounds (R-SD),Mitch McConnell (R-KY),Orrin Hatch (R-UT),Pat Roberts (R-KS),Pat Toomey (R-PA),Patrick Leahy (D-VT),Patty Murray (D-WA),Rand Paul (R-KY),Richard Blumenthal (D-CT),Richard Burr (R-NC),Richard Durbin (D-IL),Richard Shelby (R-AL),Rob Portman (R-OH),Robert Menendez (D-NJ),Roger Wicker (R-MS),Ron Johnson (R-WI),Ron Wyden (D-OR),Roy Blunt (R-MO),Sheldon Whitehouse (D-RI),Shelley Capito (R-WV),Sherrod  Brown (D-OH),Steve Daines (R-MT),Susan Collins (R-ME),Tammy Baldwin (D-WI),Ted Cruz (R-TX),Thad Cochran (R-MS),Thomas Carper (D-DE),Thomas Tillis (R-NC),Timothy Kaine (D-VA),Timothy Scott (R-SC),Tom Cotton (R-AR),Tom Udall (D-NM),subjects,title,voteDate,voteResult
0,Yea,Nay,Nay,Not Voting,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,"[u'Administrative law and regulatory procedures', u'Advisory bodies', u'Banking and financial institutions regulation', u'Business records', u'Civil actions and liability', u'Commodities markets', u'Congressional oversight', u'Consumer affairs', u'Criminal justice information and records', u'Department of the Treasury', u'Disaster relief and insurance', u'Federal Reserve System', u'Federal officials', u'Federal preemption', u'Finance and Financial Sector', u'Financial services and investments', u'Government corporations and government-sponsored enterprises', u'Government studies and investigations', u'Insurance industry and regulation', u'Licensing and registrations', u'Life, casualty, property insurance', u'Performance measurement', u'Securities', u'Small business', u'State and local government operations', u'Terrorism']",Amendment to H.R. 26,"January 8, 2015,  01:46 PM",Amendment Rejected
1,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,"[u'Administrative law and regulatory procedures', u'Advisory bodies', u'Banking and financial institutions regulation', u'Business records', u'Civil actions and liability', u'Commodities markets', u'Congressional oversight', u'Consumer affairs', u'Criminal justice information and records', u'Department of the Treasury', u'Disaster relief and insurance', u'Federal Reserve System', u'Federal officials', u'Federal preemption', u'Finance and Financial Sector', u'Financial services and investments', u'Government corporations and government-sponsored enterprises', u'Government studies and investigations', u'Insurance industry and regulation', u'Licensing and registrations', u'Life, casualty, property insurance', u'Performance measurement', u'Securities', u'Small business', u'State and local government operations', u'Terrorism']",H.R. 26,"January 8, 2015,  02:13 PM",Bill Passed
2,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",S. 1,"January 12, 2015,  05:31 PM",Cloture on the Motion to Proceed Agreed to
3,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",Amendment to S. 1,"January 20, 2015,  02:50 PM",Motion to Table Agreed to
4,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",Amendment to S. 1,"January 20, 2015,  03:15 PM",Motion to Table Agreed to
5,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",Amendment to S. 1,"January 20, 2015,  03:33 PM",Amendment Agreed to
6,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",Amendment to S. 1,"January 21, 2015,  03:17 PM",Amendment Rejected
7,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",Amendment to S. 1,"January 21, 2015,  03:47 PM",Amendment Rejected
8,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Nay,Not Voting,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",Amendment to S. 1,"January 21, 2015,  04:07 PM",Amendment Rejected
9,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",Amendment to S. 1,"January 21, 2015,  04:23 PM",Amendment Agreed to
