Alexander (R-TN),Ayotte (R-NH),Baldwin (D-WI),Barrasso (R-WY),Bennet (D-CO),Blumenthal (D-CT),Blunt (R-MO),Booker (D-NJ),Boozman (R-AR),Boxer (D-CA),Brown (D-OH),Burr (R-NC),Cantwell (D-WA),Capito (R-WV),Cardin (D-MD),Carper (D-DE),Casey (D-PA),Cassidy (R-LA),Coats (R-IN),Cochran (R-MS),Collins (R-ME),Coons (D-DE),Corker (R-TN),Cornyn (R-TX),Cotton (R-AR),Crapo (R-ID),Cruz (R-TX),Daines (R-MT),Donnelly (D-IN),Durbin (D-IL),Enzi (R-WY),Ernst (R-IA),Feinstein (D-CA),Fischer (R-NE),Flake (R-AZ),Franken (D-MN),Gardner (R-CO),Gillibrand (D-NY),Graham (R-SC),Grassley (R-IA),Hatch (R-UT),Heinrich (D-NM),Heitkamp (D-ND),Heller (R-NV),Hirono (D-HI),Hoeven (R-ND),Inhofe (R-OK),Isakson (R-GA),Johnson (R-WI),Kaine (D-VA),King (I-ME),Kirk (R-IL),Klobuchar (D-MN),Lankford (R-OK),Leahy (D-VT),Lee (R-UT),Manchin (D-WV),Markey (D-MA),McCain (R-AZ),McCaskill (D-MO),McConnell (R-KY),Menendez (D-NJ),Merkley (D-OR),Mikulski (D-MD),Moran (R-KS),Murkowski (R-AK),Murphy (D-CT),Murray (D-WA),Nelson (D-FL),Paul (R-KY),Perdue (R-GA),Peters (D-MI),Portman (R-OH),Reed (D-RI),Reid (D-NV),Risch (R-ID),Roberts (R-KS),Rounds (R-SD),Rubio (R-FL),Sanders (I-VT),Sasse (R-NE),Schatz (D-HI),Schumer (D-NY),Scott (R-SC),Sessions (R-AL),Shaheen (D-NH),Shelby (R-AL),Stabenow (D-MI),Sullivan (R-AK),Tester (D-MT),Thune (R-SD),Tillis (R-NC),Toomey (R-PA),Udall (D-NM),Vitter (R-LA),Warner (D-VA),Warren (D-MA),Whitehouse (D-RI),Wicker (R-MS),Wyden (D-OR),billTitle,sponsor,subjects,title,voteDate,voteResult
Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,S.Amdt. 1,Warren (D-MA),"[u'Administrative law and regulatory procedures', u'Advisory bodies', u'Banking and financial institutions regulation', u'Business records', u'Civil actions and liability', u'Commodities markets', u'Congressional oversight', u'Consumer affairs', u'Criminal justice information and records', u'Department of the Treasury', u'Disaster relief and insurance', u'Federal Reserve System', u'Federal officials', u'Federal preemption', u'Finance and Financial Sector', u'Financial services and investments', u'Government corporations and government-sponsored enterprises', u'Government studies and investigations', u'Insurance industry and regulation', u'Licensing and registrations', u'Life, casualty, property insurance', u'Performance measurement', u'Securities', u'Small business', u'State and local government operations', u'Terrorism']",Amendment to H.R. 26,"January 8, 2015,  01:46 PM",Amendment Rejected
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,H.R. 26,Neugebauer (R-TX),"[u'Administrative law and regulatory procedures', u'Advisory bodies', u'Banking and financial institutions regulation', u'Business records', u'Civil actions and liability', u'Commodities markets', u'Congressional oversight', u'Consumer affairs', u'Criminal justice information and records', u'Department of the Treasury', u'Disaster relief and insurance', u'Federal Reserve System', u'Federal officials', u'Federal preemption', u'Finance and Financial Sector', u'Financial services and investments', u'Government corporations and government-sponsored enterprises', u'Government studies and investigations', u'Insurance industry and regulation', u'Licensing and registrations', u'Life, casualty, property insurance', u'Performance measurement', u'Securities', u'Small business', u'State and local government operations', u'Terrorism']",H.R. 26,"January 8, 2015,  02:13 PM",Bill Passed
Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Not Voting,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Not Voting,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,S. 1,Hoeven (R-ND),"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",S. 1,"January 12, 2015,  05:31 PM",Cloture on the Motion to Proceed Agreed to
Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,S.Amdt. 13,Markey (D-MA),"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",Amendment to S. 1,"January 20, 2015,  02:50 PM",Motion to Table Agreed to
Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,S.Amdt. 17,Franken (D-MN),"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",Amendment to S. 1,"January 20, 2015,  03:15 PM",Motion to Table Agreed to
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,S.Amdt. 3,Portman (R-OH),"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",Amendment to S. 1,"January 20, 2015,  03:33 PM",Amendment Agreed to
Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,S.Amdt. 33,Lee (R-UT),"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",Amendment to S. 1,"January 21, 2015,  03:17 PM",Amendment Rejected
Nay,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Nay,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,S.Amdt. 69,Durbin (D-IL),"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",Amendment to S. 1,"January 21, 2015,  03:47 PM",Amendment Rejected
Nay,Nay,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Not Voting,Yea,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Yea,Yea,Nay,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Nay,Nay,Nay,Yea,Nay,S.Amdt. 41,Toomey (R-PA),"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",Amendment to S. 1,"January 21, 2015,  04:07 PM",Amendment Rejected
Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Nay,Yea,S.Amdt. 29,Whitehouse (D-RI),"[u'Administrative law and regulatory procedures', u'Alternative and renewable resources', u'Building construction', u'Canada', u'Climate change and greenhouse gases', u'Congressional oversight', u'Consumer affairs', u'Educational facilities and institutions', u'Electric power generation and transmission', u'Elementary and secondary education', u'Energy', u'Energy efficiency and conservation', u'Energy storage, supplies, demand', u'Environmental assessment, monitoring, research', u'Environmental technology', u'Federal appellate courts', u'General Services Administration', u'Government buildings, facilities, and property', u'Government information and archives', u'Government studies and investigations', u'Government trust funds', u'Higher education', u'Industrial facilities', u'Judicial review and appeals', u'Licensing and registrations', u'Lighting and heating', u'Materials', u'Nebraska', u'Oil and gas', u'Performance measurement', u'Pipelines', u'Pollution liability', u'Public contracts and procurement', u'Public utilities and utility rates', u'Real estate business', u'Sales and excise taxes', u'Water use and supply']",Amendment to S. 1,"January 21, 2015,  04:23 PM",Amendment Agreed to
